DJUSIG;DJUSAE;DJUSAS;AEROSPACE;
DJUSCG;DJUSCG;DJUSAR;AIRLINES;
DJUSBS;DJUSIM;DJUSAL;ALLUMINIUM;
DJUSUT;DJUSEU;DJUSVE;ALTERNATIVE ENERGY;
DJUSEN;DJUSEN;DJUSEN;ALTERNATIVE FUELS;
DJUSRT;DJUSGT;DJUSRA;APPAREL RETAILERS;
DJUSFI;DJUSGF;DJUSAG;ASSET MANAGERS;
DJUSAP;DJUSAP;DJUSAT;AUTO PARTS;
DJUSAP;DJUSAP;DJUSAU;AUTOMOBILES;
DJUSBK;DJUSBK;DJUSBK;BANKS;
DJUSHC;DJUSPN;DJUSBT;BIOTECHNOLOGY;
DJUSFB;DJUSBV;DJUSDB;BREWERS;
DJUSME;DJUSME;DJUSBC;BROADCASTING & ENTERTAINMENT;
DJUSRT;DJUSGT;DJUSRB;BROADLINE RETAILERS;
DJUSCN;DJUSCN;DJUSBD;BUILDING MATERIALS & FIXTURES;
DJUSIG;DJUSIS;DJUSIV;BUSINESS SUPPORT SERVICES;
DJUSIG;DJUSIS;DJUSBE;BUSINESS TRAINING & EMPLYMENT;
DJUSNG;DJUSPG;DJUSCF;CLOTHING & ACCESSORIES;
DJUSBS;DJUSMG;DJUSCL;COAL;
DJUSIG;DJUSIQ;DJUSHR;COMMERCIAL VEHICLES & TRUCKS;
DJUSCH;DJUSCH;DJUSCC;COMMODITY CHEMICALS;
DJUSTC;DJUSTQ;DJUSCR;COMPUTER HARDWARE;
DJUSTC;DJUSSV;DJUSDV;COMPUTER SERVICES;
DJUSNG;DJUSLE;DJUSCE;CONSUMER ELECTRONICS;
DJUSFI;DJUSGF;DJUSSF;CONSUMER FINANCE;
DJUSIG;DJUSGI;DJUSCP;CONTAINERS & PACKAGING;
DJUSUT;DJUSEU;DJUSVE;CONVENTIONAL ELECTRICITY;
DJUSIG;DJUSAE;DJUSDN;DEFENSE;
DJUSIG;DJUSIT;DJUSAF;DELIVERY SERVICES;
DJUSBS;DJUSMG;DJUSMG;DIAMONDS & GEMSTONES;
DJUSFB;DJUSBV;DJUSVN;DISTILLERS & VINTNERS;
DJUSIG;DJUSGI;DJUSID;DIVERSIFIED INDUSTRIALS;
DJUSRE;DJUSRI;DJUSDT;DIVERSIFIED REITS;
DJUSRT;DJUSDR;DJUSDR;DRUG RETAILERS;
DJUSNG;DJUSHG;DJUSHD;DURABLE HOUSEHOLD PRODUCTS;
DJUSIG;DJUSEE;DJUSEC;ELECTRICAL COMPONENTS & EQUIPMENT;
DJUSIG;DJUSEE;DJUSAI;ELECTRONIC EQUIPMENT;
DJUSTC;DJUSTQ;DJUSOE;ELECTRONIC OFFICE EQUIPMENT;
DJUSFI;DJUSFI;DJUSFI;EQUITY INVESTMENTS INSTRUMENTS;
DJUSEN;DJUSOG;DJUSOS;EXPLORATION & PRODUCTION ;
DJUSFB;DJUSFO;DJUSFO;FARMING & FISHING;
DJUSIG;DJUSIS;DJUSFA;FINANCIAL ADMINISTRATION;
DJUSTL;DJUSFC;DJUSFC;FIXED LINES TELECOMMUNICATIONS;
DJUSFB;DJUSFO;DJUSFP;FOOD PRODUCTS;
DJUSRT;DJUSDR;DJUSFD;FOOD RETAILERS & WHOLESALERS;
DJUSNG;DJUSPG;DJUSFT;FOOTWEAR;
DJUSBS;DJUSFR;DJUSFS;FORESTRY;
DJUSIR;DJUSIX;DJUSIF;FULL LINE INSURANCE;
DJUSNG;DJUSHG;DJUSFH;FURNISHINGS;
DJUSCG;DJUSCG;DJUSCA;GAMBLING;
DJUSUT;DJUSUO;DJUSGU;GAS DISTRIBUTION;
DJUSBS;DJUSMG;DJUSMD;GENERAL MINING;
DJUSBS;DJUSMG;DJUSPM;GOLD MINING;
DJUSHC;DJUSMC;DJUSHP;HEALTH CARE PROVIDERS;
DJUSCN;DJUSCN;DJUSHV;HEAVY CONSTRUCTION;
DJUSNG;DJUSHG;DJUSHB;HOME CONSTRUCTION;
DJUSRT;DJUSGT;DJUSHI;HOME IMPROVEMENT RETAILERS;
DJUSRE;DJUSRI;DJUSHL;HOTEL & LODGING;
DJUSCG;DJUSCG;DJUSLG;HOTELS;
DJUSRE;DJUSRI;DJUSIO;INDUSTRIAL & OFFICE REITS;
DJUSIG;DJUSIQ;DJUSFE;INDUSTRIAL MACHINERY;
DJUSIG;DJUSIS;DJUSDS;INDUSTRIAL SUPLIERS;
DJUSIR;DJUSIX;DJUSIB;INSURANCE BROKERS;
DJUSEN;DJUSOG;DJUSOL;INTEGRATED OIL & GAS;
DJUSTC;DJUSSV;DJUSNS;INTERNET;
DJUSFI;DJUSGF;DJUSSB;INVESTMENT SERVICES;
DJUSBS;DJUSIM;DJUSST;IRON & STEEL;
DJUSIR;DJUSIL;DJUSIL;LIFE INSURANCE;
DJUSIG;DJUSIT;DJUSMT;MARINE TRANSPORTATION;
DJUSME;DJUSME;DJUSAV;MEDIA AGENCIES;
DJUSHC;DJUSMC;DJUSAM;MEDICAL EQUIPMENT;
DJUSHC;DJUSMC;DJUSMS;MEDICAL SUPPLIES;
DJUSTL;DJUSWC;DJUSWC;MOBILE TELECOMMUNICATIONS;
DJUSFI;DJUSGF;DJUSMF;MORTAGE FINANCE;
DJUSRE;DJUSRI;DJUSMR;MORTGAGE;
DJUSUT;DJUSUO;DJUSMU;MULTIUTILITIES;
DJUSNG;DJUSHG;DJUSHN;NONDURABLE HOUSEHOLD PRODUCTS;
DJUSFI;DJUSFI;DJUSFI;NONEQUITY INVESTMENTS INSTRUMENTS;
DJUSBS;DJUSIM;DJUSNF;NONFERROUS METALS;
DJUSEN;DJUSOQ;DJUSOI;OIL EQUIPMENT & SERVICES;
DJUSBS;DJUSFR;DJUSPP;PAPER;
DJUSNG;DJUSPG;DJUSCM;PERSONAL PRODUCTS;
DJUSHC;DJUSPN;DJUSPR;PHARMACEUTICALS;
DJUSEN;DJUSOQ;DJUSPL;PIPELINES;
DJUSBS;DJUSMG;DJUSPT;PLATINUM & PRECIOUS METALS;
DJUSIR;DJUSIX;DJUSIP;PROPERTY & CASUALTY INSURANCE;
DJUSME;DJUSME;DJUSPB;PUBLISHING;
DJUSIG;DJUSIT;DJUSRR;RAILROADS;
DJUSRE;DJUSRH;DJUSEH;REAL ESTATE HOLDING & DEVELOPMENT;
DJUSRE;DJUSRH;DJUSES;REAL ESTATE SERVICES;
DJUSNG;DJUSLE;DJUSRP;RECREATIONAL PRODUCTS;
DJUSCG;DJUSCG;DJUSRQ;RECREATIONAL SERVICES;
DJUSIR;DJUSIX;DJUSIU;REINSURANCE;
DJUSEN;DJUSEN;DJUSEN;RENEWABLE ENERGY EQUIPMENT;
DJUSRE;DJUSRI;DJUSRN;RESIDENTIAL REITS;
DJUSCG;DJUSCG;DJUSRU;RESTAURANTS & BARS;
DJUSRE;DJUSRI;DJUSRL;RETAIL REITS;
DJUSTC;DJUSTQ;DJUSSC;SEMICONDUCTORS;
DJUSFB;DJUSBV;DJUSSD;SOFT DRINKS;
DJUSTC;DJUSSV;DJUSSW;SOFTWARE;
DJUSRT;DJUSGT;DJUSCS;SPECIALIZED CONSUMER SERVICES;
DJUSFI;DJUSGF;DJUSSP;SPECIALTY FINANCE;
DJUSRE;DJUSRI;DJUSSR;SPECIALTY REITS;
DJUSRT;DJUSGT;DJUSRS;SPECIALTY RETAILERS;
DJUSTC;DJUSTQ;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;
DJUSAP;DJUSAP;DJUSTR;TIRES;
DJUSNG;DJUSTB;DJUSTB;TOBACCO;
DJUSNG;DJUSLE;DJUSTY;TOYS;
DJUSIG;DJUSIT;DJUSTS;TRANSPORTACION SERVICES;
DJUSCG;DJUSCG;DJUSTT;TRAVEL & TOURISM;
DJUSIG;DJUSIT;DJUSTK;TRUCKING;
DJUSIG;DJUSIS;DJUSPC;WASTE & DISPOSAL SERVICES;
DJUSUT;DJUSUO;DJUSWU;WATER;
